n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,tau_obs,anchor,dist
3,0.4374,False,0.0116586290566376,1.258828197546317,0.2495975140833375,1,0.2349124892262666,0.034,False,False,gated,0.005,0.1244351464435146,0.3755648535564853
3,0.7222,False,0.012116403760503,1.2990738338938317,0.5226386515371301,0,0.2300848676246227,0.028,False,False,gated,0.005,0.1284518828451883,0.3715481171548117
3,0.6294,False,0.0047041494011921,1.3446035818957869,0.2517737949253865,1,0.2277628340429425,0.029,False,False,gated,0.005,0.1324686192468619,0.367531380753138
3,0.203,False,0.010788082097972,1.272843702843543,0.5104705901377011,1,0.2298513472802036,0.035,False,False,gated,0.005,0.1364853556485355,0.3635146443514644
3,0.1694,False,0.0099565535590149,1.2768297559264394,0.3271120432633925,1,0.2334271285981139,0.041,False,False,gated,0.005,0.1405020920502092,0.3594979079497907
3,0.7496,False,0.0070675939970657,1.3479188904885495,0.2806593183721021,1,0.2295491643245969,0.028,False,False,gated,0.005,0.1445188284518828,0.3554811715481171
3,0.1214,False,0.008543287548453,1.2893948315088932,0.5065643249536718,0,0.233695784185,0.046,False,False,gated,0.005,0.1485355648535564,0.3514644351464435
3,0.1542,False,0.0116151616304663,1.2789595585910905,0.3544388275456561,1,0.2332299214790961,0.04,False,False,gated,0.005,0.1525523012552301,0.3474476987447699
3,0.0686,False,0.0057219658069412,1.3486983566010575,0.5119018891121108,1,0.2318874957827061,0.044,False,False,gated,0.005,0.1565690376569037,0.3434309623430962
3,0.2624,False,0.006311080051713,1.3101370875253937,0.4913471276633613,1,0.2327458715499402,0.038,False,False,gated,0.005,0.1605857740585774,0.3394142259414225
3,0.0168,False,0.0064988519181143,1.3265713478137944,0.4949649394174955,1,0.2382583826779052,0.052,True,False,gated,0.005,0.164602510460251,0.3353974895397489
3,0.0202,False,0.0031916731415165,1.3854079680726572,0.4820431853666893,1,0.2351357747189252,0.053,True,False,gated,0.005,0.1686192468619247,0.3313807531380753
3,0.0384,False,0.0114089355752832,1.3045503479808225,0.5188241679665603,1,0.2358596394553224,0.052,True,False,gated,0.005,0.1726359832635983,0.3273640167364017
3,0.0396,False,0.0125361029637728,1.2635808698418338,0.501881759805472,1,0.2386092291425435,0.046,False,False,gated,0.005,0.1766527196652719,0.323347280334728
3,0.0232,False,0.0111653725589437,1.2964677917097178,0.430250087084452,1,0.2359403433540757,0.05,True,False,gated,0.005,0.1806694560669456,0.3193305439330544
3,0.009,True,0.010807204825625,1.282840068569127,0.505630018414491,1,0.2380071452493115,0.052,True,False,gated,0.005,0.1846861924686192,0.3153138075313807
3,0.0064,True,0.0094696878192383,1.312654227172154,0.3797284965198295,1,0.2356179977091197,0.055,True,False,gated,0.005,0.1887029288702928,0.3112970711297071
3,0.0002,True,0.0079118248333342,1.2893202004242783,0.4122546675645194,1,0.238397159691523,0.073,True,False,gated,0.005,0.1927196652719665,0.3072803347280335
3,0.0006,True,0.0067855963257683,1.306928893207056,0.2352817763357466,1,0.2358895491629724,0.065,True,False,gated,0.005,0.1967364016736401,0.3032635983263598
3,0.0008,True,0.0106337737926644,1.2753788748987176,0.4970468146354497,1,0.2390498159858175,0.064,True,False,gated,0.005,0.2007531380753138,0.2992468619246862
3,0.0014,True,0.0099624849637631,1.280384724137935,0.5008061781172128,1,0.24205548627062,0.063,True,False,gated,0.005,0.2047698744769874,0.2952301255230125
3,0.0004,True,0.010448299260339,1.2691528195249566,0.2882442813150003,1,0.2396754068191125,0.075,True,False,gated,0.005,0.2087866108786611,0.2912133891213389
3,0.0014,True,0.0110139258076043,1.271786330104191,0.500264425141618,1,0.2383876270874776,0.061,True,False,gated,0.005,0.2128033472803347,0.2871966527196652
3,0.0044,True,0.0097108082488301,1.2819371602573475,0.4939877195001206,0,0.2403332444977417,0.061,True,False,gated,0.005,0.2168200836820083,0.2831799163179916
3,0.0002,True,0.012271513747177,1.294070699583413,0.4235902628047611,1,0.2365110937170053,0.088,True,False,gated,0.005,0.220836820083682,0.279163179916318
3,0.0002,True,0.0107983564471834,1.3007858396636078,0.4090802545298247,1,0.2403321667618992,0.079,True,False,gated,0.005,0.2248535564853556,0.2751464435146443
3,0.0002,True,0.0097391947333004,1.3249373231847692,0.5058465527470688,1,0.2405608423907836,0.084,True,False,gated,0.005,0.2288702928870293,0.2711297071129707
3,0.0002,True,0.0087611846127392,1.3015427530104735,0.6909692087147691,0,0.2386130483397906,0.086,True,False,gated,0.005,0.2328870292887029,0.267112970711297
3,0.0002,True,0.012174976475186,1.2609758716900796,0.4943472060176138,1,0.2403605202310461,0.091,True,False,gated,0.005,0.2369037656903765,0.2630962343096234
3,0.0002,True,0.0116677213018441,1.2709520940750307,0.5044832448351182,0,0.2425149140005549,0.088,True,False,gated,0.005,0.2409205020920502,0.2590794979079498
3,0.0002,True,0.0107237895466854,1.2671536498459348,0.2320017247114713,1,0.240468564451976,0.08,True,False,gated,0.005,0.2449372384937238,0.2550627615062761
