D,strategy,model,anchor,dist,flag,p_min,pi_true_max,n_tests
2,iso_total,honest,0.5621212121212121,0.0621212121212121,False,0.941,0.3299999999999999,3
2,iso_total,honest,0.5651515151515152,0.0651515151515151,False,0.9634,0.296,3
2,iso_total,honest,0.5681818181818181,0.0681818181818181,False,0.9382,0.3139999999999999,3
2,iso_total,honest,0.5712121212121213,0.0712121212121212,False,0.8808,0.289,3
2,iso_total,honest,0.5742424242424242,0.0742424242424242,False,0.9608,0.294,2
2,iso_total,honest,0.5772727272727273,0.0772727272727272,False,0.9392,0.293,3
2,iso_total,honest,0.5803030303030303,0.0803030303030303,False,0.9754,0.292,3
2,iso_total,honest,0.5833333333333334,0.0833333333333333,False,0.9258,0.259,3
2,iso_total,honest,0.5863636363636364,0.0863636363636364,False,0.9702,0.275,3
2,iso_total,honest,0.5893939393939394,0.0893939393939393,False,0.9858,0.255,3
2,iso_total,honest,0.5924242424242424,0.0924242424242424,False,0.9524,0.254,3
2,iso_total,honest,0.5954545454545455,0.0954545454545454,False,0.7884,0.245,3
2,iso_total,honest,0.5984848484848485,0.0984848484848485,False,0.7612,0.2299999999999999,3
2,iso_total,honest,0.6015151515151516,0.1015151515151515,False,0.8744,0.248,3
2,iso_total,honest,0.6045454545454545,0.1045454545454545,False,0.9692,0.2069999999999999,3
2,iso_total,honest,0.6075757575757577,0.1075757575757576,False,0.7974,0.256,3
2,iso_total,honest,0.6106060606060606,0.1106060606060606,False,0.8506,0.2229999999999999,3
2,iso_total,honest,0.6136363636363636,0.1136363636363636,False,0.966,0.1899999999999999,3
2,iso_total,honest,0.6166666666666667,0.1166666666666667,False,0.9534,0.2149999999999999,2
2,iso_total,honest,0.6196969696969696,0.1196969696969696,False,0.8062,0.2039999999999999,3
2,iso_total,honest,0.6227272727272728,0.1227272727272728,False,0.353,0.18,3
2,iso_total,honest,0.6257575757575757,0.1257575757575757,False,0.913,0.173,3
2,iso_total,honest,0.6287878787878788,0.1287878787878787,False,0.8866,0.179,3
2,iso_total,honest,0.6318181818181818,0.1318181818181818,False,0.9472,0.168,3
2,iso_total,honest,0.6348484848484849,0.1348484848484848,False,0.96,0.1899999999999999,3
2,iso_total,honest,0.6378787878787879,0.1378787878787879,False,0.9942,0.163,3
2,iso_total,honest,0.6409090909090909,0.1409090909090908,False,0.9936,0.166,3
2,iso_total,honest,0.643939393939394,0.143939393939394,False,0.5018,0.155,3
2,iso_total,honest,0.646969696969697,0.1469696969696969,False,0.5896,0.131,3
2,iso_total,honest,0.65,0.15,False,0.767,0.132,3
2,iso_coord,gated,0.35,0.15,True,0.0002,0.244,3
2,iso_coord,gated,0.353030303030303,0.1469696969696969,True,0.0002,0.228,3
2,iso_coord,gated,0.356060606060606,0.1439393939393939,True,0.0002,0.241,3
2,iso_coord,gated,0.359090909090909,0.1409090909090909,True,0.0002,0.235,3
2,iso_coord,gated,0.3621212121212121,0.1378787878787878,True,0.0002,0.257,3
2,iso_coord,gated,0.3651515151515151,0.1348484848484848,True,0.0002,0.287,3
2,iso_coord,gated,0.3681818181818181,0.1318181818181818,True,0.0002,0.263,3
2,iso_coord,gated,0.3712121212121212,0.1287878787878787,True,0.0002,0.284,3
2,iso_coord,gated,0.3742424242424242,0.1257575757575758,True,0.0002,0.295,3
2,iso_coord,gated,0.3772727272727272,0.1227272727272727,True,0.0002,0.268,3
2,iso_coord,gated,0.3803030303030303,0.1196969696969696,True,0.0002,0.256,3
2,iso_coord,gated,0.3833333333333333,0.1166666666666667,True,0.0002,0.279,3
2,iso_coord,gated,0.3863636363636363,0.1136363636363636,True,0.0002,0.287,3
2,iso_coord,gated,0.3893939393939394,0.1106060606060606,True,0.0002,0.299,3
2,iso_coord,gated,0.3924242424242424,0.1075757575757576,True,0.0002,0.315,3
2,iso_coord,gated,0.3954545454545454,0.1045454545454545,True,0.0002,0.301,3
