anchor,region,p_min,sstar,k_true,k_hat,n_scales_signal,gap1,gap2,beta_loc,levels
0.471006711409396,1,0.0002,0.4,3,4,1,0.4365562430542054,0.1552920387601004,0.1644326383581237,-0.6859;-0.2493;-0.0940;-0.0483
0.4774496644295302,1,0.0002,0.4,3,4,1,0.4401273827098843,0.1511505331311938,0.1393910859606906,-0.6784;-0.2383;-0.0872;-0.0365
0.4838926174496644,1,0.0002,0.4,3,4,1,0.4353600602648561,0.1644419650886683,0.1844249165556586,-0.6998;-0.2644;-0.0999;-0.0550
0.4903355704697986,1,0.0002,0.4,3,4,1,0.439235943230606,0.1477099373846284,0.2162861776054842,-0.7195;-0.2803;-0.1326;-0.0780
0.4967785234899329,1,0.0002,0.4,3,4,1,0.0486964735222046,0.4100373656263946,0.1031893447698643,-0.6844;-0.6357;-0.2256;-0.0406
0.5032214765100671,1,0.0002,0.4,3,4,1,0.048248924337698,0.4075631151115617,0.1592566030376944,-0.7104;-0.6621;-0.2545;-0.0718
0.5096644295302013,1,0.0002,0.4,3,4,1,0.0425455377897333,0.4101755361578789,0.1936311311845636,-0.7244;-0.6819;-0.2717;-0.0859
0.5161073825503355,1,0.0002,0.4,3,4,1,0.4373437488103452,0.1307128830622193,0.1463233162131869,-0.6857;-0.2484;-0.1176;-0.0540
0.5225503355704698,1,0.0002,0.4,3,4,1,0.0458568531732189,0.4123720677336563,0.1555585987115468,-0.7142;-0.6683;-0.2560;-0.0733
0.528993288590604,1,0.0002,0.4,3,4,1,0.0492963950879943,0.4027689853104179,0.1788148831819546,-0.7193;-0.6700;-0.2673;-0.0824
0.5354362416107382,1,0.0002,0.09,2,2,1,0.2638171010845663,,0.1316279082824526,-0.5068;-0.2430
0.5418791946308725,1,0.0002,0.09,2,2,1,0.4721622343040835,,0.1006980660701293,-0.6957;-0.2236
0.5483221476510067,1,0.0002,0.09,2,2,1,0.4379048601922665,,0.1231178803079476,-0.6733;-0.2354
0.5547651006711409,1,0.0002,0.09,2,2,1,0.3828560449581033,,0.1655391746527691,-0.6448;-0.2620
0.5612080536912751,1,0.0002,0.09,2,2,1,0.4743357871537772,,0.0998179190115144,-0.6976;-0.2232
0.5676510067114094,1,0.0002,0.09,2,2,1,0.4763525041924453,,0.1343566535443287,-0.7187;-0.2424
0.5740939597315436,1,0.0002,0.09,2,2,1,0.4736639886830912,,0.1501192284320317,-0.7264;-0.2527
0.5805369127516778,1,0.0002,0.09,2,2,1,0.477654698098173,,0.1289242566288419,-0.7187;-0.2410
0.586979865771812,1,0.0002,0.09,2,2,1,0.475148218497717,,0.1101688039979247,-0.7065;-0.2313
0.5934228187919464,1,0.0002,0.09,2,2,1,0.4770429536114968,,0.0974976321532947,-0.6990;-0.2220
0.5998657718120806,1,0.0002,0.09,2,2,1,0.4769810779709757,,0.0537711526874874,-0.6744;-0.1974
0.6063087248322148,1,0.0002,0.09,2,2,1,0.4775533664645824,,-0.0262177609584006,-0.6261;-0.1486
