theta_deg,dt_ratio,rep,N,axis_true,thr_perm,null_max_med,obs_max_med,fire_perm,fire_boot,ucb_med,correct_axis,t_hat_med,t_err_med,ci_coverage,ci_width_med,n_pool,fire_equiv_5,fire_equiv_10,fire_equiv_15
0.0,2.5,3,25,6,0.9927618941277114,0.7169700967251988,0.9994425040570812,0.99,1.0,7.101238691551316,1.0,4.892613394727746,0.1165996610209276,0.6,0.2998428290727974,220,0.05,0.85,1.0
0.0,2.5,3,50,6,0.997138820037878,0.7968989079890658,0.9997409453228362,0.95,1.0,5.220135588394141,1.0,4.877012078916779,0.1229879210832214,0.4166666666666667,0.2473841818800286,220,0.3833333333333333,1.0,1.0
0.0,2.5,3,100,6,0.9880194815154886,0.6609122924835777,0.999888999345718,1.0,1.0,3.574032688238705,1.0,4.882267252104223,0.1177327478957779,0.0833333333333333,0.1793979225502795,220,0.9666666666666668,1.0,1.0
0.0,2.5,3,200,6,0.9746458117223076,0.6981167934764588,0.9999916514356744,1.0,1.0,2.2212719197653845,1.0,4.872410829418207,0.1275891705817922,0.0,0.128349248003265,220,1.0,1.0,1.0
0.0,2.5,4,25,4,0.997724482082673,0.6543549040103245,0.9995712606204328,0.89,1.0,6.394933199939167,1.0,4.892813803910704,0.1071861960892959,0.6833333333333333,0.286250300225551,220,0.15,0.9666666666666668,1.0
0.0,2.5,4,50,4,0.9949992133088064,0.5840363019149108,0.9996919973944608,1.0,1.0,4.45737648427175,1.0,4.8903627401893,0.1096372598106998,0.5,0.2097201284422598,220,0.6833333333333333,1.0,1.0
0.0,2.5,4,100,4,0.9889185212134892,0.6011230734422421,0.9999383057235132,1.0,1.0,2.924452745527498,1.0,4.884315720868076,0.1156842791319237,0.1166666666666666,0.1473934995087065,220,0.9833333333333332,1.0,1.0
0.0,2.5,4,200,4,0.9910675495777496,0.4415382066167459,0.9999885108034904,1.0,1.0,1.8946075830812048,1.0,4.889272441936191,0.1107275580638091,0.0,0.1063054364256403,220,1.0,1.0,1.0
0.0,5.0,0,25,18,0.9950989438458628,0.7329200911690649,0.9999608966657612,1.0,1.0,1.748805789805087,1.0,4.993689882221464,0.0182470159203536,0.95,0.1100017670342548,220,1.0,1.0,1.0
0.0,5.0,0,50,18,0.998593317011456,0.7835019517690021,0.9999885336555634,1.0,1.0,1.1873929446096176,1.0,4.986100598521649,0.0161124895650615,0.9,0.079534171603083,220,1.0,1.0,1.0
