kappa,surface,anchor,sigma_top,n_estimable,n_fire,alpha,fire_top,fire_mid,fire_deep,pi_top,pi_deep,gap_top,gap_deep,dos_top,dos_deep
1.3,resonant_1.5L,167,0.3332034070415962,2,2,0.1467219108431146,True,True,False,0.4805501648858177,0.4198285274475401,0.0647405375208004,0.0097373876864081,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,168,0.3332034070415962,2,2,0.2215081468636857,True,True,False,0.4947995263445239,0.2868235031065779,0.0632786075669143,0.0216436135027385,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,169,0.3332034070415962,3,3,0.2815166433537731,True,True,True,0.4735845767984553,0.0565772461389655,0.0647944943456403,0.043857936773878,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,170,0.3332034070415962,2,2,0.0607375049466233,True,True,False,0.4979532228038586,0.2765393992500307,0.0645330583910945,0.0270757116017804,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,171,0.3332034070415962,3,3,0.4256356525652639,True,True,True,0.4802305173866505,0.0833757587724704,0.0657449897376157,0.0364421897093322,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,172,0.3332034070415962,3,3,0.4527174449582785,True,True,True,0.4727126097922916,0.1189424599015935,0.0647650956403843,0.0345762548198285,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,173,0.3332034070415962,3,3,0.4251287538131222,True,True,True,0.4736980974253819,0.0842830521203042,0.0622238283128287,0.0345146690687917,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,174,0.3332034070415962,2,2,0.1193566497634293,True,True,False,0.4514472658158283,0.389337600942811,0.0625942902353867,0.0280328585661735,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,175,0.3332034070415962,2,2,0.0660885400322604,True,True,False,0.4767565751371229,0.2491714888129192,0.0644349814595908,0.0256056583611258,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,176,0.3332034070415962,2,2,0.0043814517132446,True,True,False,0.4798476887318542,0.2333519646146279,0.0642972380098319,0.0131933499102224,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,177,0.3332034070415962,2,3,0.0571305429303559,True,True,True,0.4858862220017284,0.0325968544553152,0.0640700474349483,0.0421532246933997,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,178,0.3332034070415962,2,2,0.1779654270307374,True,True,False,0.4596423685717676,0.3857510142524811,0.0637444145273285,0.0105289688338278,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,179,0.3332034070415962,2,2,-0.2223414270889029,True,True,False,0.4789417307295503,0.3165214535933329,0.0636619507539364,0.0172205847917471,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,180,0.3332034070415962,3,3,0.4689876779584189,True,True,True,0.463113677064681,0.1027459101529136,0.0626342950333986,0.0326929022801351,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,181,0.3332034070415962,3,3,0.2993315359678435,True,True,True,0.430413631978407,0.0705510008580793,0.0668416888826037,0.044139953640014,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,182,0.3332034070415962,3,3,0.4880855466553874,True,True,True,0.4357903028079907,0.094482846718157,0.0647105908238128,0.0328941436802658,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,183,0.3332034070415962,2,2,-0.3149009492725455,True,True,False,0.4864797453017984,0.3917680234042848,0.0616568985015392,0.0079999734379118,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,184,0.3332034070415962,3,3,0.5069154217353271,True,True,True,0.4926794199987969,0.1428074293214847,0.0651820501513214,0.0322800740014572,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,185,0.3332034070415962,2,2,0.1254885775303679,True,True,False,0.4849924504984264,0.2948000688349149,0.0675436954063999,0.0157377601909685,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,186,0.3332034070415962,3,3,0.3765395852262667,True,True,True,0.4900841895081401,0.0809818472939265,0.0623898314059947,0.0370181228735649,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,187,0.3332034070415962,2,2,-0.3508081138666556,True,True,False,0.4571777191936562,0.3894556351066165,0.0648641139957549,0.0160670824134876,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,188,0.3332034070415962,3,3,0.4412563880068223,True,True,True,0.4891137029914922,0.1247746011025406,0.0637042900476775,0.0345545994391121,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,189,0.3332034070415962,3,3,0.3281592702036406,True,True,True,0.4114223821832153,0.1092355867788048,0.0609757923570198,0.0386888557314509,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,190,0.3332034070415962,2,2,-0.1772076647089113,True,True,False,0.4861880106304505,0.2720029768504342,0.0623605803945332,0.0229978417058198,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,191,0.3332034070415962,3,3,0.2253615122827146,True,True,True,0.4544458780147192,0.0545329128422526,0.0625174632292577,0.0457425316462618,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,192,0.3332034070415962,2,2,-0.2324508641790464,True,True,False,0.4869684209856014,0.1586885176651709,0.0591776486341955,0.0246622150832308,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,193,0.3332034070415962,3,3,0.2749332919190869,True,True,True,0.4961380296106153,0.0588115981293207,0.0660041594145062,0.0450863386949269,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,194,0.3332034070415962,3,3,0.400158507219582,True,True,True,0.4617784084180718,0.089429293509246,0.0636386645141986,0.036542783912543,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,195,0.3332034070415962,2,2,-0.1718857907097118,True,True,False,0.4797559632175556,0.3119896424813982,0.0621189742028182,0.0216282208482523,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,196,0.3332034070415962,3,3,0.280654561447046,True,True,True,0.4476569374937354,0.0655669311913356,0.0633117693886044,0.0429055593544681,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,197,0.3332034070415962,3,3,0.2481454645875636,True,True,True,0.44962439397241,0.0503637747142001,0.0617405203857283,0.0437695245818009,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,198,0.3332034070415962,3,3,0.2636130186889996,True,True,True,0.4403695233104829,0.0625428115259003,0.0650129646533721,0.0451116922641906,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,199,0.3332034070415962,2,2,0.0440035343663967,True,True,False,0.4785989232701578,0.3568582560631805,0.0680662149788575,0.0210314747164466,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,200,0.3332034070415962,2,2,-0.0995291516443385,True,True,False,0.4539532427900883,0.3744820222210988,0.0658163258246802,0.012697496858127,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,201,0.3332034070415962,2,3,0.1436726413182674,True,True,True,0.4774496067032392,0.038747289371508,0.0658770209746791,0.0517373894479394,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,202,0.3332034070415962,3,3,0.4764349750485214,True,True,True,0.4651479423433609,0.0864675112070477,0.0651204457568332,0.0336414671523302,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,203,0.3332034070415962,3,3,0.5935968644226308,True,True,True,0.4937517273235713,0.1791532603066643,0.064046382526601,0.0281263697601704,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,204,0.3332034070415962,3,3,0.5565325151997921,True,True,True,0.4625527174584761,0.1485002797750294,0.0652822653685142,0.0301806963043632,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,205,0.3332034070415962,3,3,0.2684744947059785,True,True,True,0.4909598364898783,0.0559663798438382,0.0633748098822339,0.0436796266454386,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,206,0.3332034070415962,3,3,0.4575157605094257,True,True,True,0.470802097218601,0.1190131038633738,0.068355571987958,0.0362511665812102,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,207,0.3332034070415962,2,2,-0.0286068975542792,True,True,False,0.4216160421553352,0.494479568662552,0.0627409671851445,0.0013063018100586,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,208,0.3332034070415962,2,2,0.2024064792409868,True,True,False,0.4562851101465101,0.3758587558014386,0.0665291198257507,0.0213230601620206,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,209,0.3332034070415962,2,2,-0.0018122813595634,True,True,False,0.4782980019326247,0.3258042698551939,0.0636676640163956,0.0210099159247102,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,210,0.3332034070415962,2,2,-0.0271942585162301,True,True,False,0.4913947890689483,0.2914564009932251,0.063222325426448,0.0203930229291166,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,211,0.3332034070415962,3,3,0.6584350158207811,True,True,True,0.4983845539838228,0.1943063751699711,0.067780452860041,0.0272074027957969,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,212,0.3332034070415962,3,3,0.5615500188546076,True,True,True,0.4447232231308268,0.3647802966393558,0.0649278195158067,0.0298087674286542,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,213,0.3332034070415962,3,3,0.5511940131356248,True,True,True,0.4645565060425909,0.1859372011879768,0.0651453972331844,0.030341138563243,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,214,0.3332034070415962,2,2,-0.0093539846292943,True,True,False,0.4642705054619268,0.4162959666555865,0.062318354453294,0.0157675888983408,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,215,0.3332034070415962,3,3,0.4808880762097358,True,True,True,0.4614649687534566,0.1770001221624006,0.0655819871443662,0.0336713943196666,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,216,0.3332034070415962,2,2,0.1212819703940024,True,True,False,0.4857535060122011,0.2598450390094468,0.0646633898013271,0.0251642322281391,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,217,0.3332034070415962,2,3,0.0333333184137712,True,True,True,0.4843997317001467,0.0264453377318248,0.0629252883899568,0.0496610886778466,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,218,0.3332034070415962,3,3,0.2212224144453573,True,True,True,0.4514489519385621,0.0640726053101237,0.0654727664387551,0.0481805248629762,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,219,0.3332034070415962,2,2,0.0437030639868191,True,True,False,0.4655924221900718,0.4982169034019454,0.0630561038292607,0.0244269011694864,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,220,0.3332034070415962,2,2,-0.1255089325040259,True,True,False,0.4687952734397154,0.2971666020971858,0.062862992282704,0.0196207095887616,0.7692307692307692,3.0769230769230766
1.3,resonant_1.5L,221,0.3332034070415962,3,3,0.5936118247389591,True,True,True,0.4864387814800145,0.2677778570152724,0.0650663292548302,0.0285736931423765,0.7692307692307692,3.0769230769230766
