sigma,dip_p,delta_hat,pi_cross,d_hat,pi_true,w_min,model,tau_obs,anchor,d_true,side
0.2,0.0,0.2517088040792878,0.3969999999985327,0.052223991910464757,0.387,0.39699999999853375,gated,0.005,0.438974358974359,0.06102564102564102,-1
0.02,0.9454607592088816,0.002813883657229066,0.5376221678581831,-0.0018889001615959326,0.0,0.4623497385813767,gated,0.005,0.561025641025641,0.06102564102564102,1
0.0632455532033676,0.0,0.28439234379957795,0.167,0.06110078879543631,0.18000000000000005,0.16700000000000098,gated,0.005,0.561025641025641,0.06102564102564102,1
0.2,0.0,0.2511051741952607,0.37999999999999995,0.0610961576198795,0.401,0.38000000000000095,gated,0.005,0.561025641025641,0.06102564102564102,1
0.02,0.9422885357679538,0.005096003015575237,0.5700033437704313,-0.003527653555249803,0.003,0.43000897233530305,gated,0.005,0.43653846153846154,0.06346153846153847,-1
0.0632455532033676,0.0,0.28372326936409953,0.144,0.06719962106137713,0.155,0.144000000000001,gated,0.005,0.43653846153846154,0.06346153846153847,-1
0.2,0.0,0.25198908896765193,0.364,0.06955744085572549,0.376,0.36400000000000104,gated,0.005,0.43653846153846154,0.06346153846153847,-1
0.0632455532033676,0.0,0.2822845577043307,0.151,0.06527914806218174,0.15400000000000003,0.151000000000001,gated,0.005,0.5634615384615385,0.06346153846153847,1
0.2,0.0,0.2511277910030063,0.3959999999999906,0.0527428796443109,0.389,0.3959999999999916,gated,0.005,0.5634615384615385,0.06346153846153847,1
0.02,0.9934279878768978,0.0023778518390699666,0.4484681599423743,0.0025906497573582304,0.001,0.44852875712870477,gated,0.005,0.4341025641025641,0.06589743589743591,-1
0.0632455532033676,0.0,0.2827600592696943,0.161,0.0626356316959746,0.164,0.161000000000001,gated,0.005,0.4341025641025641,0.06589743589743591,-1
0.2,0.0,0.25285353135366767,0.3649999999999941,0.06902510629409761,0.372,0.36499999999999505,gated,0.005,0.4341025641025641,0.06589743589743591,-1
0.02,0.9974455538821388,0.006551047970706381,0.5003328900131492,-1.6688632322689496e-05,0.0,0.4996484927143993,gated,0.005,0.5658974358974359,0.06589743589743591,1
0.0632455532033676,0.0,0.28358312759960236,0.172,0.059848720425845846,0.15000000000000002,0.17200000000000099,gated,0.005,0.5658974358974359,0.06589743589743591,1
0.2,0.0,0.25227263896909685,0.37799999999999645,0.062147549097520266,0.384,0.3779999999999975,gated,0.005,0.5658974358974359,0.06589743589743591,1
0.02,0.6853797797454442,0.00571868469285268,0.49297166320030955,0.00035236678351923664,0.002,0.49303561197275986,gated,0.005,0.43166666666666664,0.06833333333333334,-1
0.0632455532033676,0.0,0.2829986321325976,0.153,0.06474139348671759,0.134,0.153000000000001,gated,0.005,0.43166666666666664,0.06833333333333334,-1
0.2,0.0,0.2531836599804929,0.365,0.06902510629409447,0.363,0.36500000000000105,gated,0.005,0.43166666666666664,0.06833333333333334,-1
0.02,0.9922867522447626,0.005975090746259321,0.21645652766084947,0.015684331011808078,0.0,0.2165087293432599,gated,0.005,0.5683333333333334,0.06833333333333334,1
0.0632455532033676,0.0,0.2844675904645858,0.13,0.07123923007942476,0.15500000000000003,0.130000000000001,gated,0.005,0.5683333333333334,0.06833333333333334,1
0.2,0.0,0.25038416905740696,0.373,0.06478363065622662,0.362,0.373000000000001,gated,0.005,0.5683333333333334,0.06833333333333334,1
0.0632455532033676,0.0,0.28091376091568476,0.129,0.07153899956896292,0.125,0.129000000000001,gated,0.005,0.4292307692307692,0.07076923076923078,-1
0.2,0.0,0.25027249764963666,0.3720000000003854,0.06531218548227073,0.368,0.3720000000003864,gated,0.005,0.4292307692307692,0.07076923076923078,-1
0.0632455532033676,0.0,0.28232556754016974,0.142,0.06775982405183019,0.135,0.142000000000001,gated,0.005,0.5707692307692308,0.07076923076923078,1
0.2,0.0,0.2509548055321374,0.347,0.0786865188221933,0.33899999999999997,0.34700000000000103,gated,0.005,0.5707692307692308,0.07076923076923078,1
0.02,0.9913877175278719,0.005618528838795628,0.4932368223019366,0.0003390716910780656,0.0,0.49343473240037317,gated,0.005,0.4267948717948718,0.07320512820512821,-1
0.0632455532033676,0.0,0.282036022731633,0.108,0.07824958666639978,0.105,0.108000000000001,gated,0.005,0.4267948717948718,0.07320512820512821,-1
0.2,0.0,0.25373244693049263,0.36,0.07169175865023876,0.367,0.36000000000000104,gated,0.005,0.4267948717948718,0.07320512820512821,-1
0.02,0.994771757236954,0.006388584141058251,0.43862111465710596,0.003089322237322129,0.0,0.438952150916247,gated,0.005,0.5732051282051283,0.07320512820512821,1
0.0632455532033676,0.0,0.2825094404898487,0.109,0.07790990173009611,0.137,0.109000000000001,gated,0.005,0.5732051282051283,0.07320512820512821,1
0.2,0.0,0.2505436618298529,0.36300000000000004,0.07009026865469224,0.344,0.3630000000000011,gated,0.005,0.5732051282051283,0.07320512820512821,1
0.02,0.9961149444164397,0.0010787102950153976,0.3067496093183738,0.010101697656497002,0.0,0.3070545055940298,gated,0.005,0.42435897435897435,0.07564102564102565,-1
0.0632455532033676,0.0,0.2814342142501357,0.128,0.07184038488934145,0.121,0.128000000000001,gated,0.005,0.42435897435897435,0.07564102564102565,-1
0.2,0.0,0.24868664688651113,0.34900000000029957,0.07760433324343348,0.358,0.34900000000030057,gated,0.005,0.42435897435897435,0.07564102564102565,-1
0.02,0.9905908355570502,0.007026282636708292,0.48424819882978004,0.0007898834978019269,0.0,0.4844767655388268,gated,0.005,0.5756410256410256,0.07564102564102565,1
0.0632455532033676,0.0,0.28053810943212454,0.129,0.07153899956896292,0.11099999999999999,0.129000000000001,gated,0.005,0.5756410256410256,0.07564102564102565,1
