n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
2,0.8812,False,0.144953117474014,0.8077729208223495,0.9001075618709802,0,0.0278639143889167,0.017,False,False,gated,50,0.9601933534981768,0.9107888759509206,True,0.412713059777301
2,0.6936,False,0.1409845162092463,0.840142759790848,0.7724117552517071,0,0.0225373956725924,0.034,False,False,gated,51,0.9620187688802724,0.8901527491460489,True,0.3919971193562396
3,0.0002,True,0.2653589810866004,0.6790718009485205,0.2219978591482926,1,0.2906057826094911,0.248,True,False,gated,52,0.4068760894611104,0.3500018992129063,False,0.0733405969864688
2,0.7758,False,0.0087976299436577,,0.5001626905157254,1,,0.019,False,False,gated,53,0.4509941221599263,0.9373288385070196,True,0.3904492772194838
3,0.0022,True,0.0244607667525614,1.1171711885930786,0.491744816070139,1,0.261966727201404,0.077,True,False,gated,54,0.3910202972964195,0.1839867095952545,False,0.2364201433320356
2,0.9828,False,0.0010484279537689,,0.5577976248594106,0,0.0010484279537689,0.01,False,False,gated,55,0.0291770413811788,0.0244396525106839,False,0.4764545559105485
2,0.0002,True,0.1351793699753903,0.9693535048226768,0.281684902791608,1,0.2662159660417256,0.109,True,False,gated,56,0.6330119446385528,0.2508113536212422,False,0.2622097484511432
2,0.0002,True,0.2665262123650216,,0.1339999999387989,1,0.2665262123650216,0.133,True,False,gated,57,0.7421321911637315,0.2533545267501854,False,0.1994345138599899
3,0.6208,False,0.026832337571042,1.1829644053379236,0.3377619643968264,1,0.2542485003923385,0.041,False,False,gated,58,0.3079977120826397,0.1025652466812725,False,0.3230443911501089
3,0.0002,True,0.2829924758484652,0.03834853490165,0.516,0,0.2940683232571213,0.484,True,False,gated,59,0.2873925326955063,0.4738540075104647,True,0.0074524297996219
3,0.0002,True,0.2777894218097393,0.0312461549155787,0.2079999999987347,1,0.2864692731175467,0.251,True,False,gated,60,0.8582838853475004,0.3641221491650698,False,0.0569055571829379
2,0.914,False,0.141111044679138,0.8662946498625342,0.6137864209856168,0,0.2633547877220545,0.032,False,False,gated,61,0.4901607806253017,0.8970562951805696,True,0.3392150191180849
2,0.0002,True,0.13394954432165,0.9591958189907211,0.7323354392514696,0,0.2624333871916482,0.1129999999999999,True,False,gated,62,0.9539873668616468,0.739410141446926,True,0.2437916697427576
2,0.0002,True,0.2801390455415399,0.0358358915251725,0.1885006209490735,1,0.270100013093512,0.364,True,False,gated,63,0.6125775151856022,0.4205090886767718,False,0.13578502851748
