manifold,method,model,x1,x2,gated_side,pi_true_max,n_tests,flag,p_min,abstain
clumpy,raw,honest,0.6223013703535629,0.429299796928889,True,0.4379999999999999,3,False,0.548,False
clumpy,raw,honest,0.2423583490531413,0.1881461485153606,False,0.037,3,True,0.0002,False
clumpy,raw,honest,0.7736259080588759,0.2175185638813074,True,0.164,3,False,0.943,False
clumpy,raw,honest,0.2509950587876349,0.1805220017471347,False,0.039,3,True,0.0002,False
clumpy,raw,honest,0.5303154494372629,0.5282046514255521,False,0.269,3,False,0.5502,False
clumpy,raw,honest,0.2727252471740103,0.7319047692580862,False,0.039,3,True,0.0004,False
clumpy,raw,honest,0.8031163835991045,0.7579532611702381,True,0.237,3,False,0.7728,False
clumpy,raw,honest,0.5868829019884972,0.4661202283197556,True,0.388,3,False,0.8806,False
clumpy,raw,honest,0.2672880027295909,0.1505357802791468,False,0.032,3,True,0.0002,False
clumpy,raw,honest,0.2384339511724555,0.1305358633462719,False,0.028,3,True,0.0002,False
clumpy,raw,honest,0.1745011055871277,0.262292659841028,False,0.024,3,True,0.0002,False
clumpy,raw,honest,0.5387802094143587,0.4233013288579903,False,0.274,3,False,0.0184,False
clumpy,raw,honest,0.826854231226577,0.691691531698121,True,0.2059999999999999,3,False,0.861,False
clumpy,raw,honest,0.1417497255946902,0.7151834667820686,False,0.004,3,False,0.3472,False
clumpy,raw,honest,0.4903864318783463,0.3448634242312585,False,0.258,3,True,0.0002,False
clumpy,raw,honest,0.2246547752357934,0.1585374975723159,False,0.022,3,True,0.0002,False
clumpy,raw,honest,0.1407163328585475,0.2471624243966447,False,0.013,3,True,0.0002,False
clumpy,raw,honest,0.8461852857204697,0.2146129017907853,True,0.0969999999999999,3,False,0.4086,False
clumpy,raw,honest,0.3530151068709555,0.8223800530052096,False,0.073,3,True,0.0002,False
clumpy,raw,honest,0.7333239124771901,0.8701934497401231,True,0.3359999999999999,3,False,0.0996,False
clumpy,raw,honest,0.7443762729003781,0.0936023026991245,True,0.122,3,False,0.7136,False
clumpy,raw,honest,0.8254812481936453,0.7805005369283129,True,0.2089999999999999,3,False,0.9802,False
clumpy,raw,honest,0.555870673379165,0.7986960752603874,True,0.291,3,True,0.001,False
clumpy,raw,honest,0.7899844090065414,0.1441217556765576,True,0.1109999999999999,3,False,0.9854,False
clumpy,raw,honest,0.4892107962059428,0.8990700564637373,False,0.209,3,True,0.0094,False
clumpy,raw,honest,0.5039221688639716,0.853493331575317,False,0.257,3,True,0.0166,False
clumpy,raw,honest,0.7729357298157379,0.1920686015541571,True,0.146,3,False,0.8766,False
clumpy,raw,honest,0.7210867776284302,0.1412320729123573,True,0.173,3,False,0.8126,False
clumpy,raw,honest,0.4376961943554091,0.8648536930151285,False,0.138,3,True,0.001,False
clumpy,raw,honest,0.6860792690388331,0.8742505325190753,True,0.419,3,True,0.0004,False
clumpy,raw,honest,0.3869635315572212,0.8203805297435027,False,0.078,3,True,0.0002,False
clumpy,raw,honest,0.203540452990863,0.2341642745878076,False,0.025,3,True,0.0002,False
clumpy,raw,honest,0.1204189891597696,0.7677932402187188,False,0.014,3,False,0.1454,False
clumpy,raw,honest,0.8531862658705001,0.2325571171372133,True,0.1099999999999999,3,False,0.747,False
clumpy,raw,honest,0.2601236122510741,0.6727469906164261,False,0.026,3,True,0.0008,False
clumpy,raw,honest,0.2057031952076339,0.8064088141655101,False,0.03,3,True,0.0002,False
clumpy,raw,honest,0.4146915162623852,0.9325735775092192,False,0.111,3,True,0.0002,False
clumpy,raw,honest,0.4604715644524974,0.8580740913815885,False,0.183,3,False,0.0202,False
clumpy,raw,honest,0.1729667328985847,0.7393783655593675,False,0.014,3,True,0.002,False
clumpy,raw,honest,0.4423591208131503,0.9336572080837736,False,0.153,3,True,0.0076,False
clumpy,raw,honest,0.2317925842371845,0.7345247693673671,False,0.025,3,True,0.0012,False
clumpy,raw,honest,0.7986923161396998,0.2650962101133543,True,0.16,3,False,0.9028,False
clumpy,raw,honest,0.5169104985987965,0.4225437404672351,False,0.277,3,False,0.0322,False
clumpy,raw,honest,0.4605083769291946,0.380922481889581,False,0.21,3,True,0.0002,False
clumpy,raw,honest,0.4520445035626556,0.4311416370834702,False,0.163,3,True,0.0002,False
clumpy,raw,honest,0.4461932612582138,0.838968817164287,False,0.144,3,True,0.0004,False
clumpy,raw,honest,0.8292568602876904,0.1681021124573782,True,0.0949999999999999,3,False,0.9974,False
clumpy,raw,honest,0.1692498229990191,0.1858879436582811,False,0.014,3,True,0.0002,False
clumpy,raw,honest,0.8798660078235796,0.1394100968759038,True,0.055,3,False,0.6382,False
clumpy,raw,honest,0.8482288143080794,0.1934826853476955,True,0.0899999999999999,3,False,0.9718,False
clumpy,raw,honest,0.4204274731896484,0.8132905546782833,False,0.132,3,True,0.0002,False
clumpy,raw,honest,0.1275044863393465,0.7732955863001104,False,0.007,3,False,0.2148,False
clumpy,raw,honest,0.4062506565012536,0.8381504544710496,False,0.112,3,True,0.0002,False
clumpy,raw,honest,0.5225937322941097,0.4357745949185886,False,0.248,3,False,0.0478,False
clumpy,raw,honest,0.1814679785483786,0.7809807455710205,False,0.012,3,True,0.0036,False
clumpy,raw,honest,0.1958757559907676,0.7983369287866523,False,0.016,3,True,0.0004,False
clumpy,raw,honest,0.4424787500370181,0.4433017634449676,False,0.183,3,True,0.0002,False
clumpy,raw,honest,0.750846697569029,0.8632886089139651,True,0.3,3,False,0.7338,False
clumpy,raw,honest,0.2225182090448544,0.7034568539938935,False,0.017,3,True,0.0156,False
clumpy,raw,honest,0.8118919226680887,0.1913748943022918,True,0.1139999999999999,3,False,0.9136,False
clumpy,raw,honest,0.1582722065466236,0.8040421323620295,False,0.017,3,False,0.0386,False
clumpy,raw,honest,0.2819596597136286,0.1800877846434291,False,0.053,3,True,0.0002,False
clumpy,raw,honest,0.5839201541472184,0.4364990254282342,True,0.403,3,False,0.3916,False
clumpy,raw,honest,0.202294464761052,0.727391927696119,False,0.016,3,False,0.0328,False
clumpy,raw,honest,0.2471626790911917,0.225207990689534,False,0.033,3,True,0.0002,False
clumpy,raw,honest,0.5725693962642752,0.5512987095654913,True,0.348,3,False,0.1292,False
clumpy,raw,honest,0.4502489075448941,0.8271277197151601,False,0.141,3,True,0.0004,False
clumpy,raw,honest,0.4614555358690679,0.3663074100799665,False,0.217,3,True,0.0002,False
clumpy,raw,honest,0.4819292790521479,0.8550441154819343,False,0.191,3,True,0.003,False
clumpy,raw,honest,0.6022978737553408,0.4635515569006556,True,0.466,3,False,0.4398,False
clumpy,raw,honest,0.503272836457191,0.8075461192326113,False,0.203,3,True,0.0002,False
clumpy,raw,honest,0.13899966667436,0.0938313563649145,False,0.01,3,False,0.4666,False
clumpy,raw,honest,0.1484811429772063,0.3108369873515432,False,0.013,3,True,0.0002,False
clumpy,raw,honest,0.2900208707560702,0.1406284278868842,False,0.051,3,True,0.0002,False
clumpy,raw,honest,0.1638067643339865,0.7701581094094448,False,0.01,3,False,0.1056,False
clumpy,raw,honest,0.7887609093100655,0.8600471978986328,True,0.2209999999999999,3,False,0.421,False
clumpy,raw,honest,0.7700842292424579,0.233356059121471,True,0.177,3,False,0.8134,False
clumpy,raw,honest,0.4303560764956702,0.3908559278436802,False,0.15,3,True,0.0002,False
clumpy,raw,honest,0.2372337952714718,0.7026559672042726,False,0.038,3,False,0.031,False
